Wall time,Step,Value
1511126069.019561,14040,1.0
1511126116.945585,21400,0.0
1511126162.263706,28320,1.0
1511126335.882119,54620,0.0
1511126352.132493,57300,3.0
1511126353.442026,57540,3.0
1511126490.059672,79380,2.0
1511126490.280692,79440,0.0
1511126534.571377,86580,2.0
1511126536.327565,86860,1.0
1511126623.03276,101340,0.0
1511126791.701682,131720,3.0
1511126920.484674,154880,1.0
1511126954.084217,160980,0.0
1511126957.331058,161540,0.0
1511127009.314122,170740,3.0
1511127152.753609,196680,3.0
1511127235.864549,211040,1.0
1511127275.945546,218240,1.0
1511127318.339418,225860,3.0
1511127405.08845,241120,0.0
1511127453.115745,249660,0.0
1511127576.825573,271940,2.0
1511127595.88839,275400,3.0
1511127725.759445,298620,2.0
1511127739.628578,300540,0.0
1511127793.991385,310320,1.0
1511127825.848207,316080,3.0
1511127889.695641,327660,0.0
1511127914.92275,332200,0.0
1511127961.152277,340440,3.0
1511128103.218804,365580,1.0
1511128147.533744,373480,3.0
1511128323.430945,404420,1.0
1511128368.249534,412500,3.0
1511128627.11798,458320,0.0
1511128665.838159,465220,2.0
1511128667.190455,465500,3.0
1511128686.488553,468920,2.0
1511128713.693772,473780,3.0
1511128717.380521,474440,2.0
1511128793.781178,488060,0.0
1511128858.042281,499540,1.0
1511128858.805547,499680,1.0
1511128859.723102,499880,1.0
1511128874.686147,501920,0.0
1511128919.612717,509940,0.0
1511128966.77117,518280,0.0
1511129004.212439,525080,2.0
1511129045.834161,532440,3.0
1511129119.441703,545460,0.0
1511129175.128312,555460,0.0
1511129252.593652,569380,2.0
1511129294.14003,576760,2.0
1511129415.592794,598680,2.0
1511129422.755188,599920,0.0
1511129459.342756,606040,1.0
1511129548.71291,622140,0.0
1511129565.486646,625160,0.0
1511129586.779944,629120,0.0
1511129620.943558,635260,0.0
1511129641.819391,638760,2.0
1511129824.146718,671760,2.0
1511129830.32157,672920,0.0
1511129869.180889,680140,0.0
1511129899.386267,685680,2.0
1511129908.855806,687520,1.0
1511129914.459992,688460,2.0
1511130073.410013,717200,2.0
1511130108.572497,723640,2.0
1511130186.790573,738000,0.0
1511130196.506315,739820,1.0
1511130202.636405,740820,2.0
1511130234.826484,746860,1.0
1511130316.044149,761740,2.0
1511130356.09594,769060,2.0
1511130356.529172,769140,1.0
1511130373.848329,772080,2.0
1511130482.108937,792100,0.0
1511130522.728637,799520,1.0
1511130524.787371,799880,0.0
1511130533.863269,800920,3.0
1511130609.286305,814840,2.0
1511130611.519478,815220,0.0
1511130658.242781,823380,0.0
1511130738.212829,837940,2.0
1511130809.611322,850940,2.0
1511130980.165887,881920,1.0
1511131067.815539,897740,3.0
1511131134.48946,909480,2.0
1511131147.317411,911900,3.0
1511131311.294321,941680,0.0
1511131313.723231,942140,0.0
1511131368.727418,951940,2.0
1511131393.681693,956760,2.0
1511131441.274799,965420,2.0
1511131553.222172,986160,2.0
1511131747.543484,1021320,1.0
1511131764.175565,1024540,1.0
1511131849.984472,1040420,2.0
1511131865.432131,1043120,3.0
1511131911.083631,1051560,12.0
1511131928.46132,1054860,0.0
1511131964.175119,1061500,1.0
1511132048.098199,1076880,2.0
1511132087.567035,1084240,2.0
1511132127.340577,1091640,4.0
1511132161.593349,1097920,3.0
1511132175.567669,1100280,1.0
1511132249.70461,1113760,1.0
1511132293.48154,1121660,2.0
1511132315.270384,1125580,2.0
1511132330.595273,1128420,3.0
1511132353.652076,1132500,0.0
1511132391.123809,1139320,0.0
1511132467.498875,1153260,0.0
1511132583.970351,1174580,1.0
1511132614.363551,1180280,0.0
1511132616.030191,1180620,3.0
1511132642.860312,1185460,0.0
1511132701.726529,1196300,3.0
1511132947.368146,1240840,3.0
1511133071.78732,1263660,2.0
1511133128.283457,1273780,1.0
1511133143.940974,1276760,0.0
1511133152.852789,1278460,3.0
1511133157.194458,1279160,0.0
1511133182.566218,1283800,2.0
1511133193.659993,1285920,3.0
1511133360.156863,1315520,3.0
1511133378.356264,1318740,0.0
1511133417.536392,1325860,3.0
1511133459.917205,1333660,2.0
1511133471.371956,1335860,3.0
1511133623.218387,1363580,0.0
1511133665.385547,1371320,1.0
1511133708.914307,1379360,0.0
1511133785.554069,1393280,2.0
1511133807.081552,1397360,3.0
1511133978.654723,1428340,0.0
1511134044.891154,1440480,12.0
1511134062.6782,1443600,3.0
1511134158.512687,1461140,2.0
1511134171.016907,1463440,1.0
1511134175.899401,1464320,3.0
1511134180.695068,1465160,3.0
1511134197.662529,1468220,2.0
1511134261.204635,1479940,12.0
1511134270.2959,1481400,0.0
1511134301.389564,1487260,0.0
1511134301.768154,1487360,1.0
1511134310.71428,1488840,1.0
1511134342.778662,1494860,0.0
1511134549.671191,1532440,2.0
1511134668.650736,1553880,3.0
1511134752.348162,1568960,0.0
1511134754.102016,1569220,3.0
1511134794.264105,1576500,1.0
1511134834.468966,1583640,1.0
1511134958.713381,1606240,0.0
1511134979.175958,1610020,3.0
1511135041.47191,1621580,11.0
1511135072.063575,1627560,3.0
1511135112.381649,1635080,3.0
1511135115.2201,1635640,2.0
1511135280.750895,1666480,3.0
1511135306.101192,1671380,1.0
1511135355.48593,1680480,2.0
1511135391.872725,1687300,0.0
1511135422.100276,1693000,1.0
1511135475.025913,1702320,3.0
1511135534.427596,1713280,2.0
1511135552.654636,1716760,2.0
1511135631.450318,1731300,3.0
1511135711.123207,1746040,3.0
1511135750.060465,1753180,3.0
1511135787.981723,1760180,0.0
